Config,Expe,Metric,core 0
seq-perfmon,BaseDeformationMapping applyJT vec else,L2 data volume [GBytes],0.030625
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000247
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.012145
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],2997.322216
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.088836
seq-perfmon,BaseDeformationMapping applyJ else,L2 Load [MBytes/s],94931.890134
seq-perfmon,BaseDeformationMapping applyJ else,L2 Evict [MBytes/s],14868.450324
seq-perfmon,BaseDeformationMapping applyJ else,L2 bandwidth [MBytes/s],109800.340458
seq-perfmon,BaseDeformationMapping applyJ else,L2 data volume [GBytes],0.027097
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.253722
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.283514
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2993.804805
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.768018
seq-perfmon,BaseDeformationMapping applyJT vec,L2 Load [MBytes/s],19100.285076
seq-perfmon,BaseDeformationMapping applyJT vec,L2 Evict [MBytes/s],455.832481
seq-perfmon,BaseDeformationMapping applyJT vec,L2 bandwidth [MBytes/s],19556.117557
seq-perfmon,BaseDeformationMapping applyJT vec,L2 data volume [GBytes],4.961811
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.053618
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.060730
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2993.526979
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.368603
seq-perfmon,BaseStrainMapping applyDJT,L2 Load [MBytes/s],6578.176882
seq-perfmon,BaseStrainMapping applyDJT,L2 Evict [MBytes/s],1877.903857
seq-perfmon,BaseStrainMapping applyDJT,L2 bandwidth [MBytes/s],8456.080739
seq-perfmon,BaseStrainMapping applyDJT,L2 data volume [GBytes],0.453397
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.056272
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.061226
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2993.370643
seq-perfmon,BaseDeformationMapping apply,CPI,0.556330
seq-perfmon,BaseDeformationMapping apply,L2 Load [MBytes/s],6678.760353
seq-perfmon,BaseDeformationMapping apply,L2 Evict [MBytes/s],585.730886
seq-perfmon,BaseDeformationMapping apply,L2 bandwidth [MBytes/s],7264.491239
seq-perfmon,BaseDeformationMapping apply,L2 data volume [GBytes],0.408791
seq-perfmon,Simu,Runtime (RDTSC) [s],2.866633
seq-perfmon,Simu,Runtime unhalted [s],1.840171
seq-perfmon,Simu,Clock [MHz],2992.780923
seq-perfmon,Simu,CPI,0.622099
seq-perfmon,Simu,L2 Load [MBytes/s],4312.946652
seq-perfmon,Simu,L2 Evict [MBytes/s],627.331870
seq-perfmon,Simu,L2 bandwidth [MBytes/s],4940.278522
seq-perfmon,Simu,L2 data volume [GBytes],14.161965
