Config,Expe,Metric,core 0
seq-perfmon,BaseDeformationMultiMapping applyJ,Runtime unhalted [s],0.073372
seq-perfmon,BaseDeformationMultiMapping applyJ,Clock [MHz],2994.404031
seq-perfmon,BaseDeformationMultiMapping applyJ,CPI,0.482607
seq-perfmon,BaseDeformationMultiMapping applyJ,Load to Store ratio,1.693264
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.012579
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.018929
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2997.601493
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.478006
seq-perfmon,BaseStrainMapping applyDJT,Load to Store ratio,1.912453
seq-perfmon,Simu,Runtime (RDTSC) [s],1.038049
seq-perfmon,Simu,Runtime unhalted [s],0.521993
seq-perfmon,Simu,Clock [MHz],2992.667715
seq-perfmon,Simu,CPI,0.801805
seq-perfmon,Simu,Load to Store ratio,1.775460
