Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseDeformationMultiMapping applyJT vec,Memory data volume [GBytes],0.000599,0.000599,0.000000,0.000150
openmp-perfmon,BaseDeformationMultiMapping applyJ,Runtime (RDTSC) [s],0.902615,0.225654,0.225654,0.225654
openmp-perfmon,BaseDeformationMultiMapping applyJ,Runtime unhalted [s],0.118083,0.042809,0.024747,0.029521
openmp-perfmon,BaseDeformationMultiMapping applyJ,Clock [MHz],11997.265590,3002.182752,2994.924568,2999.316397
openmp-perfmon,BaseDeformationMultiMapping applyJ,CPI,2.998231,1.009615,0.650780,0.749558
openmp-perfmon,BaseDeformationMultiMapping applyJ,Memory Read BW [MBytes/s],1.496381,1.496381,0.000000,0.374095
openmp-perfmon,BaseDeformationMultiMapping applyJ,Memory Write BW [MBytes/s],0.647789,0.647789,0.000000,0.161947
openmp-perfmon,BaseDeformationMultiMapping applyJ,Memory BW [MBytes/s],2.144170,2.144170,0.000000,0.536043
openmp-perfmon,BaseDeformationMultiMapping applyJ,Memory data volume [GBytes],0.000484,0.000484,0.000000,0.000121
openmp-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.434923,0.108731,0.108731,0.108731
openmp-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.040512,0.016777,0.007796,0.010128
openmp-perfmon,BaseStrainMapping applyDJT,Clock [MHz],12000.084484,3004.835693,2995.135674,3000.021121
openmp-perfmon,BaseStrainMapping applyDJT,CPI,3.673814,1.367964,0.757820,0.918453
openmp-perfmon,BaseStrainMapping applyDJT,Memory Read BW [MBytes/s],1.062440,1.062440,0.000000,0.265610
openmp-perfmon,BaseStrainMapping applyDJT,Memory Write BW [MBytes/s],0.582135,0.582135,0.000000,0.145534
openmp-perfmon,BaseStrainMapping applyDJT,Memory BW [MBytes/s],1.644575,1.644575,0.000000,0.411144
openmp-perfmon,BaseStrainMapping applyDJT,Memory data volume [GBytes],0.000179,0.000179,0.000000,0.000045
openmp-perfmon,Simu,Runtime (RDTSC) [s],9.909500,2.477375,2.477375,2.477375
openmp-perfmon,Simu,Runtime unhalted [s],0.414712,0.414712,0.000000,0.103678
