Function,Scene,Metric,Type,Level,Run,Value
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,10,5489.353060
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,10,14351.754959
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,10,5489.353060
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,10,14351.754959
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,10,5489.353060
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,10,14351.754959
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,11,5702.561307
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,11,14623.355679
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,11,5702.561307
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,11,14623.355679
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,11,5702.561307
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,11,14623.355679
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,12,5685.705828
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,12,15675.252742
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,12,5685.705828
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,12,15675.252742
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,12,5685.705828
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,12,15675.252742
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,13,6119.239278
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,13,15022.644500
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,13,6119.239278
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,13,15022.644500
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,13,6119.239278
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,13,15022.644500
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,14,5915.020885
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,14,14632.931669
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,14,5915.020885
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,14,14632.931669
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,14,5915.020885
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,14,14632.931669
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,15,5761.535928
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,15,14254.652484
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,15,5761.535928
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,15,14254.652484
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,15,5761.535928
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,15,14254.652484
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,16,5847.949986
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,16,14210.264672
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,16,5847.949986
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,16,14210.264672
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,16,5847.949986
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,16,14210.264672
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,17,5482.952360
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,17,13225.259153
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,17,5482.952360
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,17,13225.259153
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,17,5482.952360
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,17,13225.259153
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,18,5378.226030
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,18,13750.582766
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,18,5378.226030
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,18,13750.582766
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,18,5378.226030
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,18,13750.582766
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,19,4898.586622
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,19,12612.048237
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,19,4898.586622
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,19,12612.048237
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,19,4898.586622
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,19,12612.048237
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,1,5501.048324
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,1,14432.846916
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,1,5501.048324
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,1,14432.846916
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,1,5501.048324
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,1,14432.846916
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,20,5775.586024
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,20,14911.357953
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,20,5775.586024
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,20,14911.357953
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,20,5775.586024
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,20,14911.357953
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,21,5485.127704
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,21,13893.431957
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,21,5485.127704
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,21,13893.431957
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,21,5485.127704
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,21,13893.431957
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,22,5807.808582
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,22,14258.973559
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,22,5807.808582
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,22,14258.973559
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,22,5807.808582
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,22,14258.973559
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,23,5873.680431
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,23,13998.726723
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,23,5873.680431
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,23,13998.726723
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,23,5873.680431
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,23,13998.726723
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,24,5783.687838
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,24,14804.923515
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,24,5783.687838
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,24,14804.923515
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,24,5783.687838
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,24,14804.923515
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,25,5792.088848
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,25,14162.900671
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,25,5792.088848
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,25,14162.900671
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,25,5792.088848
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,25,14162.900671
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,26,5379.888946
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,26,13795.132234
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,26,5379.888946
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,26,13795.132234
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,26,5379.888946
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,26,13795.132234
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,27,5285.230126
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,27,13527.174135
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,27,5285.230126
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,27,13527.174135
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,27,5285.230126
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,27,13527.174135
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,28,6156.694836
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,28,14797.544390
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,28,6156.694836
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,28,14797.544390
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,28,6156.694836
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,28,14797.544390
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,29,6197.657190
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,29,17945.593535
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,29,6197.657190
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,29,17945.593535
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,29,6197.657190
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,29,17945.593535
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,2,5513.928578
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,2,14833.517338
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,2,5513.928578
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,2,14833.517338
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,2,5513.928578
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,2,14833.517338
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,30,5930.762944
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,30,14875.917570
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,30,5930.762944
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,30,14875.917570
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,30,5930.762944
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,30,14875.917570
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,3,5681.351398
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,3,14357.952220
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,3,5681.351398
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,3,14357.952220
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,3,5681.351398
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,3,14357.952220
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,4,6083.280002
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,4,16159.503222
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,4,6083.280002
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,4,16159.503222
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,4,6083.280002
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,4,16159.503222
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,5,5616.458630
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,5,15025.581222
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,5,5616.458630
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,5,15025.581222
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,5,5616.458630
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,5,15025.581222
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,6,6505.267070
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,6,16345.484260
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,6,6505.267070
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,6,16345.484260
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,6,6505.267070
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,6,16345.484260
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,7,5293.456004
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,7,13568.762407
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,7,5293.456004
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,7,13568.762407
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,7,5293.456004
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,7,13568.762407
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,8,5698.971515
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,8,14780.669315
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,8,5698.971515
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,8,14780.669315
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,8,5698.971515
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,8,14780.669315
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,9,5861.124720
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,9,14839.630985
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,9,5861.124720
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,9,14839.630985
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,9,5861.124720
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,9,14839.630985
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,10,28293.958574
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,10,9871.719722
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,10,28293.958574
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,10,9871.719722
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,10,28293.958574
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,10,9871.719722
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,11,30747.764013
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,11,9985.988480
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,11,30747.764013
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,11,9985.988480
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,11,30747.764013
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,11,9985.988480
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,12,31633.586154
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,12,10423.586251
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,12,31633.586154
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,12,10423.586251
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,12,31633.586154
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,12,10423.586251
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,13,28459.466460
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,13,9713.879665
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,13,28459.466460
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,13,9713.879665
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,13,28459.466460
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,13,9713.879665
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,14,29952.519586
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,14,10066.389124
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,14,29952.519586
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,14,10066.389124
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,14,29952.519586
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,14,10066.389124
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,15,31272.004601
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,15,10365.430898
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,15,31272.004601
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,15,10365.430898
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,15,31272.004601
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,15,10365.430898
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,16,30249.506877
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,16,10050.129179
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,16,30249.506877
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,16,10050.129179
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,16,30249.506877
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,16,10050.129179
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,17,28510.760603
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,17,9864.423163
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,17,28510.760603
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,17,9864.423163
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,17,28510.760603
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,17,9864.423163
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,18,28692.745018
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,18,9969.846056
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,18,28692.745018
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,18,9969.846056
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,18,28692.745018
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,18,9969.846056
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,19,30696.258565
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),sequential,L2,19,10255.555625
